======================================================================
  DAFTAR DRAMA - KOREAN
  Total: 632 drama
======================================================================

No.    ID       Judul                                               Episode
344    2590     우리 여보는 가난해                                            80 eps
345    2592     가족이라는 이름으로                                            60 eps
346    2594     이번 생은 호구 안 해                                          67 eps
347    2598     그녀의 유혹 사나리오                                           81 eps
348    2614     청소로 시작된 제2의 인생                                        72 eps
349    2638     외과의사 류세훈                                              60 eps
350    2640     이번 생은 호구 안 해                                          67 eps
351    2649     기생충                                                   41 eps
352    2665     친구야! 사람 잘못 봤어!                                        62 eps
353    2694     어린 신부                                                 79 eps
354    2697     하얀 계절의 속삭임                                            74 eps
355    2699     아름다운 신 （더빙）                                           79 eps
356    2706     며느리를 지켜라!                                             66 eps
357    2716     나를 배신한 너희들에게                                          43 eps
358    2722     완벽한 알리바이                                              51 eps
359    2731     맞선 당일, 재벌가 며느리가 되다                                    86 eps
360    2733     희생양은 사양할게                                             58 eps
361    2743     심장에 새긴 눈물                                             68 eps
362    2755     알고보니 내 남편                                             92 eps
363    2766     내 첫 번째 팬은 내 부자 남편이다                                   63 eps
364    2768     이별 끝에 피어난 봄                                           63 eps
365    2770     알아볼 수 없는 그 얼굴                                         50 eps
366    2789     이별하면 꽃도 떠남                                            61 eps
367    2801     여군님의 현세계 생활                                           89 eps
368    2812     그대는 나의 봄이었다                                           60 eps
369    2814     속삭임처럼（더빙）                                             92 eps
370    2830     내생까지 진상을 추격한다                                         31 eps
371    2832     공주가 돌아왔다                                              78 eps
372    2840     자스민의 유혹                                               43 eps
373    2849     첫사랑의 장례식                                              75 eps
374    2867     불구놈이 일이서니 최고 갑부                                       54 eps
375    2871     계약 아내, 사용 기한은 평생이다                                    80 eps
376    2878     운명처럼 널 사랑해                                            87 eps
377    2880     원수의 아내가 되었다                                           71 eps
378    2894     천국이면서 지옥 같은 내 사랑                                      92 eps
379    2896     그녀는 두 남자를 가졌다                                         73 eps
380    2903     양미혜의 도시살이                                             66 eps
381    2912     운명에 멈춰 선 시간                                           90 eps
382    2932     30일 카운트다운                                             52 eps
383    2934     후회없는 사랑                                              100 eps
384    2945     재벌집 딸의 귀환                                             73 eps
385    2947     옥면공자는 사실 섭정대군이었다                                      89 eps
386    2964     빚어진 음모를 막은 누나의 기지                                     66 eps
387    2966     슈퍼대디 back                                             86 eps
388    2977     삼둥이는 사랑 도우미                                           75 eps
389    2979     각성의 향                                                 42 eps
390    2999     환생-친밀한 배신자                                            30 eps
391    3005     80년대 자매의 인생 체인지                                       64 eps
392    3015     너는 나의 선물                                              93 eps
393    3017     엄마,울지 마                                               30 eps
