======================================================================
  DAFTAR DRAMA - INDONESIAN
  Total: 522 drama
======================================================================

No.    ID       Judul                                               Episode
161    1683     Suara Hati yang Kutepati                             109 eps
162    1690     Antara Dusta dan Hasrat                               84 eps
163    1692     Ternyata Kau Istriku                                  73 eps
164    1706     Rahasia Kehamilan                                     64 eps
165    1713     Rahasia Aula Leluhur                                  40 eps
166    1720     Cinta yang Tak Mudah                                  53 eps
167    1752     Pengakuan Cinta yang Tertunda                        100 eps
168    1763     Ketika Takdir Membawa Kembali                        101 eps
169    1764     Ibu Tak Punya Hati Nurani                             32 eps
170    1769     Pengorbanan sang Siswi Genius                         40 eps
171    1774     Bulan Berselimut Cinta                                84 eps
172    1776     Koki Cintaku                                          65 eps
173    1786     Penyelamat Masa Kecilku                               80 eps
174    1787     Magang Manja Bu Bos                                   66 eps
175    1815     Terjebak Cinta Lama                                   63 eps
176    1823     Putri Pengungkap Rahasia                             155 eps
177    1829     Balas Dendam Sang Pelayan                             53 eps
178    1839     El Favoritismo de Papá Casi Me Mata                   40 eps
179    1854     Reinkarnasi Dewa Mancing                              76 eps
180    1857     Pertemuan Takdir                                      78 eps
181    1872     Bukan Salah Ibu                                       60 eps
182    1882     Bukan Permaisuri Gendut Biasa                         62 eps
183    1883     Sang Dewi Abadi                                       89 eps
184    1887     Mahar dan Pernikahan Rahasia                          89 eps
185    1888     Kasih Ayah yang Tersisihkan                           40 eps
186    1897     Pujaan Hati CEO                                       90 eps
187    1911     Balas Dendam Sang Ayah                                40 eps
188    1914     Reinkarnasiku Adalah Akhir dari Hidupmu               75 eps
189    1915     Ketika Rembulan Memudar                               33 eps
190    1936     Anak Tersayang: Serbuan ke Keluarga Miliarder!(D      74 eps
191    1937     Berlabuh ke Musuh Hati                                60 eps
192    1944     Pernikahan Penuh Rahasia                              80 eps
193    1957     Una receta para el amor                               78 eps
194    1959     Pembalasan sang Pewaris                               35 eps
195    1961     Mengejarmu Tanpa Ampun                                69 eps
196    1970     Jangan Macam-Macam, Patih Licik!                      91 eps
197    1976     Nenek Muda: Kebangkitan Keluarga(Dubbing)             90 eps
198    1984     Percikan Cinta Dalam Kebakaran                        90 eps
199    1985     Bayangan Sang Suami                                   73 eps
200    1986     Suami Kilat, Cinta Terlambat                          90 eps
201    1991     Jebakan Sang Istri                                    61 eps
202    2006     Dendam yang Terkubur                                  45 eps
203    2010     Kasih Salah, Tiada Kembali                            50 eps
204    2031     CEO itu Ayah Anakku(Dubbing)                          80 eps
205    2032     Kehidupan Ini Lebih Bahagia                          148 eps
206    2033     Kutukan Nasib Sang Pengganti                          67 eps
207    2035     Bukan Pasangan Biasa                                  83 eps
208    2036     Takdir Seorang Istri                                  70 eps
209    2037     Cinta yang Tak Terduga                                90 eps
210    2083     Putra Mahkota Rela Mati Untukku                       65 eps
211    2099     Disiksa Keluarga Sendiri                              68 eps
212    2105     Si el Amor es Destino                                 90 eps
213    2118     Surga yang Dihiasi Dusta                              92 eps
214    2126     Rahasia di Balik Nikah Kilat                          60 eps
215    2137     Reinkarnasi Era 70'an sang Ibu                        64 eps
216    2146     Putri Kandung yang Teraniaya                          30 eps
217    2147     Cinta dalam Salah Paham                               90 eps
218    2148     Raja Dunia Hiburan                                    83 eps
219    2149     Surga Ibu atau Neraka Cinta                           35 eps
220    2150     Tatkala Cinta Mengetuk                                38 eps
221    2169     Saat kita bertemu lagi                                79 eps
222    2186     Nenek Muda: Kebangkitan Keluarga 2                   100 eps
223    2205     Kasih yang Sirna                                      60 eps
224    2213     Reinkarnasi Dewa Judi                                 94 eps
225    2216     Luka yang Membawa Cinta                               85 eps
226    2221     Sang Veteran                                          36 eps
227    2232     Maaf, Sayang                                          30 eps
228    2234     30 Hari untuk Merelakanmu                             52 eps
229    2239     Ayah yang Salah                                       63 eps
230    2240     Cinta Mendalam di Balik Kontrak                       60 eps
231    2242     Sonata Cinta di Musim Dingin                          74 eps
232    2308     Menikah lagi di Era 90-an                             62 eps
233    2320     Turunnya Kaisar Abadi                                 61 eps
234    2321     Menanti Bidadari Masuk Jebakan                        40 eps
235    2343     Dokter Jenius Terlahir Kembali                        61 eps
236    2344     Lonceng Berdering dalam Abu Kehidupan                 75 eps
237    2346     Cinta yang Tak Kembali                                72 eps
238    2355     Berita Baik yang Belum Tiba                           18 eps
239    2370     Cinta yang Tak Luntur                                 68 eps
240    2388     Pas si divine, la pêche !                             76 eps
241    2393     Pesanan Nyasar ke Hati Presdir                        91 eps
242    2394     Menjadi Pembawa Sial Untuk Sahabatku                  30 eps
243    2402     Cinta Tanpa Syarat                                    59 eps
244    2424     Para hacerte mía, cuñada                             100 eps
245    2442     Tahta untuk Anak yang Salah                           64 eps
246    2463     Mencuri Hati Kaisar                                   84 eps
247    2482     Setia Tanpa Perlu Ditanya                            100 eps
248    2485     Takdir dalam Cinta                                    88 eps
249    2487     Reinkarnasi dan Dendam                                82 eps
